generation,gen_highest_Fitness,gen_higest_score
0,5150,1
1,6000,1
2,10028,2
3,10334,2
4,10008,2
5,9986,2
6,10008,2
7,14958,3
8,10336,2
9,15086,3
10,20226,4
11,15190,3
12,15112,3
13,15224,3
14,15122,3
15,25270,5
16,15136,3
17,25232,5
18,15120,3
19,15266,3
20,51490,10
21,15440,3
22,15338,3
23,25224,5
24,25220,5
25,30856,6
26,25948,5
27,20014,4
28,35612,7
29,42086,8
30,32618,6
31,20448,4
32,31200,6
33,45940,9
34,51344,10
35,71978,14
36,166000,32
37,190750,37
38,195648,38
39,195554,38
40,200064,39
41,216000,42
42,210880,41
43,216000,42
44,211000,41
45,236000,46
46,225452,44
47,206000,40
48,220220,43
49,226000,44
50,236000,46
51,231000,45
52,241000,47
53,226000,44
54,226000,44
55,231000,45
56,236000,46
57,231000,45
58,251000,49
59,231000,45
60,236000,46
61,251000,49
62,236000,46
63,231000,45
64,221000,43
65,241000,47
66,256000,50
67,241000,47
68,251000,49
69,246000,48
70,236000,46
71,251000,49
72,246000,48
73,246000,48
74,261000,51
75,236000,46
76,241000,47
77,241000,47
78,256000,50
79,260794,51
80,241000,47
81,246000,48
82,251000,49
83,251000,49
84,256000,50
85,236000,46
86,250776,49
87,251000,49
88,241000,47
89,245660,48
90,250780,49
91,251000,49
92,261000,51
93,241000,47
94,236000,46
95,241000,47
96,246000,48
97,236000,46
98,241000,47
99,241000,47
100,246000,48
101,246000,48
102,261000,51
103,256000,50
104,251000,49
105,251000,49
106,261000,51
107,251000,49
108,250552,49
109,245786,48
110,251000,49
111,251000,49
112,241000,47
113,261000,51
114,241000,47
115,241000,47
116,251000,49
117,246000,48
118,246000,48
119,236000,46
120,246000,48
121,246000,48
122,251000,49
123,251000,49
124,266000,52
125,246000,48
126,261000,51
127,251000,49
128,256000,50
129,241000,47
130,251000,49
131,261000,51
132,251000,49
133,261000,51
134,251000,49
135,246000,48
136,256000,50
137,256000,50
138,246000,48
139,241000,47
140,266000,52
141,251000,49
142,231000,45
143,251000,49
144,251000,49
145,251000,49
146,241000,47
147,251000,49
148,241000,47
149,236000,46
150,246000,48
151,251000,49
152,246000,48
153,266000,52
154,246000,48
155,261000,51
156,256000,50
157,251000,49
158,251000,49
159,271000,53
160,266000,52
161,256000,50
162,246000,48
163,241000,47
164,246000,48
165,251000,49
166,241000,47
167,261000,51
168,251000,49
169,241000,47
170,256000,50
171,246000,48
172,251000,49
173,246000,48
174,241000,47
175,286000,56
176,251000,49
177,256000,50
178,241000,47
179,251000,49
180,251000,49
181,251000,49
182,261000,51
183,276000,54
184,251000,49
185,271000,53
186,241000,47
187,276000,54
188,256000,50
189,261000,51
190,251000,49
191,250630,49
192,261000,51
193,246000,48
194,246000,48
195,266000,52
196,251000,49
197,256000,50
198,251000,49
199,256000,50
